,date,trails,jumps,trail name
0,2021-04-26,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
1,2021-04-22,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
2,2021-04-21,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
3,2021-04-19,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
4,2021-04-19,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
5,2021-04-12,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
6,2021-04-08,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
7,2021-04-06,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
8,2021-04-05,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
9,2021-04-04,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
10,2021-04-02,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
11,2021-03-30,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
12,2021-03-29,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
13,2021-03-23,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
14,2021-03-16,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
15,2021-03-15,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
16,2021-03-08,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
17,2021-03-04,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
18,2021-03-02,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
19,2021-02-07,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
20,2021-02-06,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
21,2021-02-01,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
22,2021-01-29,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
23,2021-01-10,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
24,2021-01-05,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
25,2021-01-04,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
26,2020-12-21,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
27,2020-12-20,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
28,2020-12-12,Lincoln trail bypass SW > NE,6.0,Lincoln Loop
29,2021-04-26,JZ's Panther Prowl,7.0,Leopard's Loop
30,2021-04-26,JZ's Panther Prowl,7.0,Leopard's Loop
31,2021-04-26,JZ's Panther Prowl,7.0,Leopard's Loop
32,2021-04-23,JZ's Panther Prowl,7.0,Leopard's Loop
33,2021-04-23,JZ's Panther Prowl,7.0,Leopard's Loop
34,2021-04-22,JZ's Panther Prowl,7.0,Leopard's Loop
35,2021-04-22,JZ's Panther Prowl,7.0,Leopard's Loop
36,2021-04-21,JZ's Panther Prowl,7.0,Leopard's Loop
37,2021-04-21,JZ's Panther Prowl,7.0,Leopard's Loop
38,2021-04-19,JZ's Panther Prowl,7.0,Leopard's Loop
39,2021-04-19,JZ's Panther Prowl,7.0,Leopard's Loop
40,2021-04-14,JZ's Panther Prowl,7.0,Leopard's Loop
41,2021-04-13,JZ's Panther Prowl,7.0,Leopard's Loop
42,2021-04-13,JZ's Panther Prowl,7.0,Leopard's Loop
43,2021-04-12,JZ's Panther Prowl,7.0,Leopard's Loop
44,2021-04-12,JZ's Panther Prowl,7.0,Leopard's Loop
45,2021-04-09,JZ's Panther Prowl,7.0,Leopard's Loop
46,2021-04-09,JZ's Panther Prowl,7.0,Leopard's Loop
47,2021-04-08,JZ's Panther Prowl,7.0,Leopard's Loop
48,2021-04-08,JZ's Panther Prowl,7.0,Leopard's Loop
49,2021-04-08,JZ's Panther Prowl,7.0,Leopard's Loop
50,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
51,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
52,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
53,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
54,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
55,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
56,2021-04-07,JZ's Panther Prowl,7.0,Leopard's Loop
57,2021-04-06,JZ's Panther Prowl,7.0,Leopard's Loop
58,2021-04-06,JZ's Panther Prowl,7.0,Leopard's Loop
59,2021-04-05,JZ's Panther Prowl,7.0,Leopard's Loop
60,2021-04-05,JZ's Panther Prowl,7.0,Leopard's Loop
61,2021-04-04,JZ's Panther Prowl,7.0,Leopard's Loop
62,2021-04-04,JZ's Panther Prowl,7.0,Leopard's Loop
63,2021-04-02,JZ's Panther Prowl,7.0,Leopard's Loop
64,2021-04-02,JZ's Panther Prowl,7.0,Leopard's Loop
65,2021-03-31,JZ's Panther Prowl,7.0,Leopard's Loop
66,2021-03-30,JZ's Panther Prowl,7.0,Leopard's Loop
67,2021-03-29,JZ's Panther Prowl,7.0,Leopard's Loop
68,2021-03-29,JZ's Panther Prowl,7.0,Leopard's Loop
69,2021-03-29,JZ's Panther Prowl,7.0,Leopard's Loop
70,2021-03-29,JZ's Panther Prowl,7.0,Leopard's Loop
71,2021-03-29,JZ's Panther Prowl,7.0,Leopard's Loop
72,2021-03-24,JZ's Panther Prowl,7.0,Leopard's Loop
73,2021-03-23,JZ's Panther Prowl,7.0,Leopard's Loop
74,2021-03-23,JZ's Panther Prowl,7.0,Leopard's Loop
75,2021-03-23,JZ's Panther Prowl,7.0,Leopard's Loop
76,2021-03-23,JZ's Panther Prowl,7.0,Leopard's Loop
77,2021-03-22,JZ's Panther Prowl,7.0,Leopard's Loop
78,2021-03-22,JZ's Panther Prowl,7.0,Leopard's Loop
79,2021-03-22,JZ's Panther Prowl,7.0,Leopard's Loop
80,2021-03-22,JZ's Panther Prowl,7.0,Leopard's Loop
81,2021-03-22,JZ's Panther Prowl,7.0,Leopard's Loop
82,2021-03-17,JZ's Panther Prowl,7.0,Leopard's Loop
83,2021-03-17,JZ's Panther Prowl,7.0,Leopard's Loop
84,2021-03-17,JZ's Panther Prowl,7.0,Leopard's Loop
85,2021-03-17,JZ's Panther Prowl,7.0,Leopard's Loop
86,2021-03-16,JZ's Panther Prowl,7.0,Leopard's Loop
87,2021-03-15,JZ's Panther Prowl,7.0,Leopard's Loop
88,2021-03-15,JZ's Panther Prowl,7.0,Leopard's Loop
89,2021-03-15,JZ's Panther Prowl,7.0,Leopard's Loop
90,2021-03-15,JZ's Panther Prowl,7.0,Leopard's Loop
91,2021-03-10,JZ's Panther Prowl,7.0,Leopard's Loop
92,2021-03-10,JZ's Panther Prowl,7.0,Leopard's Loop
93,2021-03-10,JZ's Panther Prowl,7.0,Leopard's Loop
94,2021-03-09,JZ's Panther Prowl,7.0,Leopard's Loop
95,2021-03-08,JZ's Panther Prowl,7.0,Leopard's Loop
96,2021-03-08,JZ's Panther Prowl,7.0,Leopard's Loop
97,2021-03-07,JZ's Panther Prowl,7.0,Leopard's Loop
98,2021-03-06,JZ's Panther Prowl,7.0,Leopard's Loop
99,2021-03-04,JZ's Panther Prowl,7.0,Leopard's Loop
100,2021-03-04,JZ's Panther Prowl,7.0,Leopard's Loop
101,2021-03-02,JZ's Panther Prowl,7.0,Leopard's Loop
102,2021-03-02,JZ's Panther Prowl,7.0,Leopard's Loop
103,2021-02-25,JZ's Panther Prowl,7.0,Leopard's Loop
104,2021-02-25,JZ's Panther Prowl,7.0,Leopard's Loop
105,2021-02-22,JZ's Panther Prowl,7.0,Leopard's Loop
106,2021-02-22,JZ's Panther Prowl,7.0,Leopard's Loop
107,2021-02-22,JZ's Panther Prowl,7.0,Leopard's Loop
108,2021-02-07,JZ's Panther Prowl,7.0,Leopard's Loop
109,2021-02-07,JZ's Panther Prowl,7.0,Leopard's Loop
110,2021-02-07,JZ's Panther Prowl,7.0,Leopard's Loop
